f_id,f_pro
f5,625
f0,527
f12,469
f6,466
f7,435
f11,432
f4,232
f2,125
f10,123
f9,123
f8,60
f1,52
f29,27
f3,26
f36,20
f39,19
f58,17
f34,17
f59,16
f55,15
f35,12
f28,12
f20,11
f24,9
f40,9
f45,9
f52,8
f17,8
f47,8
f42,7
f18,7
f54,6
f57,4
f48,4
f13,4
f49,3
f33,3
f30,3
f56,3
f37,3
f60,3
f23,2
f38,2
f43,2
f31,2
f19,2
f51,1
f26,1
f16,1
f25,1
f44,1
f27,1
f15,1
f14,1
f41,1
