f_id,f_pro
f0,1201
f5,1141
f12,1012
f7,972
f6,914
f11,846
f4,477
f10,270
f9,267
f2,248
f8,139
f1,74
f39,48
f3,41
f29,37
f28,36
f35,34
f45,32
f59,30
f14,29
f55,28
f34,26
f58,26
f24,24
f42,23
f30,21
f19,15
f54,14
f17,14
f49,13
f13,13
f20,12
f36,12
f57,11
f48,11
f40,11
f60,11
f52,10
f47,10
f18,8
f44,6
f38,6
f37,5
f43,5
f27,4
f33,4
f16,4
f15,4
f41,3
f23,2
f25,2
f56,2
f53,2
f31,2
f22,1
f51,1
