f_id,f_pro
f5,2327
f0,2183
f12,2089
f6,1952
f7,1922
f11,1680
f4,831
f9,509
f2,475
f10,461
f8,257
f1,154
f39,96
f35,92
f29,91
f58,84
f59,80
f34,74
f3,71
f42,69
f45,59
f28,55
f40,47
f24,37
f44,33
f20,32
f55,30
f57,27
f60,26
f14,26
f19,26
f30,26
f38,23
f33,23
f49,22
f56,22
f17,21
f47,20
f36,19
f52,19
f48,19
f13,18
f54,15
f37,14
f41,14
f15,10
f43,9
f23,9
f53,8
f16,7
f31,6
f51,5
f27,5
f25,4
f18,3
f50,2
f22,1
f21,1
