f_id,f_pro
f5,1483
f0,1409
f12,1194
f7,1113
f6,1105
f11,1057
f4,664
f2,437
f10,353
f9,320
f8,176
f1,171
f3,76
f28,57
f39,52
f58,49
f29,49
f34,47
f55,46
f59,44
f35,43
f42,36
f24,27
f40,26
f45,25
f30,23
f36,22
f57,22
f41,21
f19,20
f60,19
f54,18
f14,18
f17,18
f48,17
f38,17
f49,16
f47,16
f13,15
f52,15
f20,14
f37,14
f56,11
f33,10
f18,9
f15,8
f16,7
f51,6
f31,6
f53,5
f23,5
f43,5
f44,5
f25,4
f27,4
f22,2
f46,1
