f_id,f_pro
f5,1034
f0,979
f12,967
f6,868
f7,776
f11,735
f4,376
f10,262
f9,243
f2,196
f8,72
f1,55
f39,53
f29,38
f42,33
f28,30
f59,29
f36,27
f35,26
f3,20
f58,20
f49,19
f45,18
f24,17
f55,17
f18,17
f30,14
f17,13
f34,12
f48,8
f14,8
f19,7
f47,6
f54,4
f43,4
f60,4
f52,4
f40,3
f41,3
f25,3
f53,3
f16,3
f27,2
f56,2
f15,2
f57,1
f26,1
f33,1
f38,1
f31,1
f20,1
f23,1
